solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
733_8_145,733,8,145,2336.0,2042.8,,,,,-inf,False,timeout,
552_1_131,552,1,131,473.0,445.4,,,,,-inf,False,timeout,
490_5_10,490,5,10,2675.0,2552.5,,,,,-inf,False,timeout,
490_20_129,490,20,129,10700.0,10210.0,65.86,1.83,5.73,27.25,-inf,False,"seabed clearance too low, bend radius too small",8.4
490_1_28,490,1,28,535.0,510.5,,,,,-inf,False,timeout,
552_9_35,552,9,35,4257.0,4008.6,28.02,4.08,0.63,35.29,-inf,False,seabed clearance too low,16.9
458_9_198,458,9,198,5103.0,4896.9,,,,,-inf,False,timeout,
490_20_198,490,20,198,10700.0,10210.0,,,,,-inf,False,timeout,
490_9_10,490,9,10,4815.0,4594.5,39.12,3.45,0.5,99.86,-inf,False,"seabed clearance too low, bend radius too small",35.0
490_9_78,490,9,78,4815.0,4594.5,43.64,3.86,23.45,45.36,143.69,True,,10.7
733_1_28,733,1,28,292.0,255.35,,,,,-inf,False,timeout,
593_8_131,593,8,131,3456.0,3218.8,,,,,-inf,False,timeout,
552_9_64,552,9,64,4257.0,4008.6,38.04,3.16,0.57,44.69,-inf,False,"seabed clearance too low, bend radius too small",13.1
490_9_10,490,9,10,4815.0,4594.5,39.12,3.45,0.5,99.86,-inf,False,"seabed clearance too low, bend radius too small",40.0
490_5_10,490,5,10,2675.0,2552.5,,,,,-inf,False,timeout,
552_1_131,552,1,131,473.0,445.4,,,,,-inf,False,timeout,
490_8_10,490,8,10,4280.0,4084.0,43.22,2.91,0.58,99.86,-inf,False,"seabed clearance too low, bend radius too small",25.2
400_5_129,400,5,129,3125.0,3025.0,,,,,-inf,False,timeout,
490_9_146,490,9,146,4815.0,4594.5,,,,,-inf,False,timeout,
300_9_198,300,9,198,6525.0,6390.0,,,,,-inf,False,timeout,
300_9_131,300,9,131,6525.0,6390.0,,,,,-inf,False,timeout,
733_16_198,733,16,198,4672.0,4085.6,,,,,-inf,False,timeout,
552_5_131,552,5,131,2365.0,2227.0,,,,,-inf,False,timeout,
490_9_144,490,9,144,4815.0,4594.5,,,,,-inf,False,timeout,
490_9_10,490,9,10,4815.0,4594.5,39.12,3.45,0.5,99.86,-inf,False,"seabed clearance too low, bend radius too small",41.8
490_8_111,490,8,111,4280.0,4084.0,63.07,4.08,0.67,67.07,-inf,False,seabed clearance too low,12.2
733_8_148,733,8,148,2336.0,2042.8,,,,,-inf,False,timeout,
733_8_133,733,8,133,2336.0,2042.8,,,,,-inf,False,timeout,
490_8_10,490,8,10,4280.0,4084.0,43.22,2.91,0.58,99.86,-inf,False,"seabed clearance too low, bend radius too small",26.0
552_5_81,552,5,81,2365.0,2227.0,,,,,-inf,False,timeout,
490_17_28,490,17,28,9095.0,8678.5,,,,,-inf,False,timeout,
490_5_10,490,5,10,2675.0,2552.5,,,,,-inf,False,timeout,
552_1_131,552,1,131,473.0,445.4,,,,,-inf,False,timeout,
300_5_129,300,5,129,3625.0,3550.0,,,,,-inf,False,timeout,
552_12_28,552,12,28,5676.0,5344.8,24.98,3.27,0.56,13.5,-inf,False,"seabed clearance too low, surface clearance too low, bend radius too small",16.3
