,Leftmost,,Rightmost,,Lower-Corner,
Arc length (m),X,Z,X,Z,X,Z
148,68.04362321,-99.43588573,105.8106633,-25.71091057,68.2707398,-98.38184765
149,69.01676136,-99.66605915,106.7759251,-25.44957388,69.15238,-98.85374629
150,70.00532164,-99.8168108,107.7477999,-25.21401707,70.07590854,-99.23724624
151,71.00189873,-99.89934286,108.7258261,-25.00546802,71.03215984,-99.52975295
152,72.00136973,-99.93151707,109.7128559,-24.84484382,72.01111692,-99.73376149
153,73.00134378,-99.93694267,110.7108131,-24.78075074,73.00336803,-99.85791484
154,74.00132214,-99.9323809,111.7107204,-24.76618366,74.00156241,-99.91778402
155,75.00129342,-99.92646752,112.7106283,-24.78070597,75.00137432,-99.93656064
156,76.00127341,-99.92228217,113.7096939,-24.82423362,76.00136246,-99.9361546
157,77.00125983,-99.92012577,114.7053985,-24.91696274,77.00133244,-99.9301144
158,78.00124828,-99.91935655,115.687511,-25.1053332,78.00130523,-99.92456019
159,79.00123701,-99.91928134,116.6593767,-25.34092859,79.00128767,-99.92116069
160,80.00122573,-99.91944162,117.6244501,-25.60296141,80.00127472,-99.91963976
161,81.00121444,-99.91961475,118.5823532,-25.8901009,81.00126284,-99.91923496
162,82.00120315,-99.91972926,119.5266285,-26.21929829,82.00125103,-99.91931295
163,83.00119187,-99.91978484,120.4385147,-26.62978007,83.00123921,-99.91950824
164,84.00118058,-99.91980268,121.3323504,-27.0782096,84.00122739,-99.91966828
165,85.00116928,-99.91980274,122.2159526,-27.54648056,85.00121557,-99.91975982
166,86.00115798,-99.91979744,123.0897008,-28.03288981,86.00120375,-99.91979761
167,87.00114667,-99.91979244,123.9453098,-28.55054059,87.00119193,-99.91980553
168,88.00113536,-99.91978934,124.760187,-29.13020562,88.0011801,-99.91980158
169,89.00112404,-99.91978793,125.555042,-29.73703424,89.00116827,-99.91979548
170,90.00111272,-99.91978753,126.3397361,-30.35694549,90.00115644,-99.91979094
171,91.00110139,-99.91978759,127.1150696,-30.98852428,91.0011446,-99.91978851
172,92.00109006,-99.91978775,127.8723941,-31.64158812,92.00113276,-99.9197876
173,93.00107873,-99.9197879,128.5885357,-32.33957305,93.00112091,-99.91978747
174,94.00106738,-99.91978798,129.2862476,-33.05597993,94.00110906,-99.91978763
175,95.00105604,-99.91978801,129.9755721,-33.78046008,95.00109721,-99.91978781
176,96.00104469,-99.91978802,130.6573621,-34.51203438,96.00108535,-99.91978794
177,97.00103333,-99.91978802,131.3233531,-35.25801942,97.00107349,-99.919788
178,98.00102198,-99.91978801,131.9514379,-36.03619487,98.00106163,-99.91978802
179,99.00101061,-99.91978801,132.5638873,-36.8267341,99.00104976,-99.91978802
180,100.0009992,-99.91978801,133.1699993,-37.62214188,100.0010379,-99.91978802
181,101.0009879,-99.91978801,133.7705108,-38.42178572,101.001026,-99.91978801
182,102.0009765,-99.91978801,134.357856,-39.23114885,102.0010141,-99.91978801
183,103.0009651,-99.91978801,134.9116504,-40.06383463,103.0010023,-99.91978801
184,104.0009537,-99.91978801,135.4525977,-40.90492238,104.0009904,-99.91978801
185,105.0009424,-99.91978801,135.9889566,-41.74894291,105.0009785,-99.91978801
186,106.000931,-99.91978801,136.5213134,-42.59549268,106.0009666,-99.91978801
187,107.0009196,-99.91978801,137.0428909,-43.44872536,107.0009547,-99.91978801
188,108.0009082,-99.91978801,137.535178,-44.31919286,108.0009428,-99.91978801
189,109.0008968,-99.91978801,138.0170003,-45.19549555,109.0009309,-99.91978801
190,110.0008854,-99.91978801,138.4955731,-46.07357634,110.000919,-99.91978801
191,111.000874,-99.91978801,138.9713507,-46.95317419,111.0009071,-99.91978801
192,112.0008625,-99.91978801,139.4383239,-47.83747693,112.0008952,-99.91978801
193,113.0008511,-99.91978801,139.8797825,-48.7347959,113.0008833,-99.91978801
194,114.0008397,-99.91978801,140.3127077,-49.63626217,114.0008714,-99.91978801
