solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
729_14_132,729,14,132,4144.0,3633.7,,,,,-inf,False,timeout,
300_1_34,300,1,34,725.0,710.0,,,,,-inf,False,timeout,
770_3_10,770,3,10,765.0,649.5,,,,,-inf,False,timeout,
434_14_167,434,14,167,8274.0,7970.2,,,,,-inf,False,timeout,
653_7_189,653,7,189,2604.0,2375.45,,,,,-inf,False,timeout,
770_7_136,770,7,136,1785.0,1515.5,,,,,-inf,False,timeout,
552_14_122,552,14,122,6622.0,6235.6,,,,,-inf,False,timeout,
653_1_122,653,1,122,372.0,339.35,,,,,-inf,False,timeout,
770_19_36,770,19,36,4845.0,4113.5,,,,,-inf,False,timeout,
300_14_189,300,14,189,10150.0,9940.0,,,,,-inf,False,timeout,
770_8_110,770,8,110,2040.0,1732.0,,,,,-inf,False,timeout,
456_19_21,456,19,21,10811.0,10377.8,,,,,-inf,False,timeout,
719_1_87,719,1,87,306.0,270.05,,,,,-inf,False,timeout,
300_5_87,300,5,87,3625.0,3550.0,,,,,-inf,False,timeout,
388_7_187,388,7,187,4459.0,4323.2,,,,,-inf,False,timeout,
750_15_197,750,15,197,4125.0,3562.5,,,,,-inf,False,timeout,
770_14_10,770,14,10,3570.0,3031.0,,,,,-inf,False,timeout,
770_14_66,770,14,66,3570.0,3031.0,,,,,-inf,False,timeout,
770_2_149,770,2,149,510.0,433.0,,,,,-inf,False,timeout,
695_14_34,695,14,34,4620.0,4133.5,,,,,-inf,False,timeout,
753_18_178,753,18,178,4896.0,4218.3,,,,,-inf,False,timeout,
388_9_176,388,9,176,5733.0,5558.4,,,,,-inf,False,timeout,
770_14_40,770,14,40,3570.0,3031.0,,,,,-inf,False,timeout,
627_14_197,627,14,197,5572.0,5133.1,,,,,-inf,False,timeout,
675_7_69,675,7,69,2450.0,2213.75,,,,,-inf,False,timeout,
653_10_164,653,10,164,3720.0,3393.5,,,,,-inf,False,timeout,
761_15_34,761,15,34,3960.0,3389.25,,,,,-inf,False,timeout,
416_7_69,416,7,69,4263.0,4117.4,42.09,2.92,0.54,53.51,-inf,False,"seabed clearance too low, bend radius too small",31.0
300_14_122,300,14,122,10150.0,9940.0,60.89,8.12,9.15,28.95,-inf,False,seabed clearance too low,25.2
